央视频道,#genre#
湖南卫视,http://221.197.236.192:17514/udp/225.1.2.110:5002$联通RTP
湖南卫视,http://101.66.199.29:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖南卫视,http://101.66.199.118:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8$订阅源
湖南卫视,http://101.66.199.194:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
北京卫视,http://221.197.236.192:17514/udp/225.1.1.113:5002$联通RTP
北京卫视,http://221.197.236.192:17514/udp/225.1.2.246:5002$联通RTP
北京卫视,http://101.66.199.29:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
北京卫视,http://101.66.199.118:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8$订阅源
北京卫视,http://101.66.199.194:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
广东卫视,http://221.197.236.192:17514/udp/225.1.1.116:5002$联通RTP
广东卫视,http://101.66.199.29:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
广东卫视,http://101.66.199.118:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
广东卫视,http://60.10.139.113:8801/hls/26/index.m3u8$订阅源
广东卫视,http://101.66.199.194:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖北卫视,http://198.204.228.26/live/hbwshd.m3u8$订阅源
湖北卫视,http://221.197.236.192:17514/udp/225.1.1.147:5002$联通RTP
湖北卫视,http://101.66.199.29:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖北卫视,http://101.66.199.118:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖北卫视,http://60.10.139.113:8801/hls/29/index.m3u8$订阅源
湖北卫视,http://101.66.199.194:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
安徽卫视,http://221.197.236.192:17514/udp/225.1.1.127:5002$联通RTP
安徽卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
安徽卫视,http://101.66.199.29:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
安徽卫视,http://101.66.199.118:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
安徽卫视,http://60.10.139.113:8801/hls/99/index.m3u8$订阅源
安徽卫视,http://101.66.199.194:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
重庆卫视,http://198.204.228.26/live/cqwshd.m3u8$订阅源
重庆卫视,http://221.197.236.192:17514/udp/225.1.1.155:5002$联通RTP
重庆卫视,http://101.66.199.29:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
重庆卫视,http://101.66.199.118:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
重庆卫视,http://60.10.139.113:8801/hls/31/index.m3u8$订阅源
